,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width,Color,Image_link
941,941,941,717,60430021,HEMNES,Chests of drawers & drawer units,SR150,"SR1,495",True,https://www.ikea.com/sa/en/p/hemnes-glass-top-transparent-60430021/,No,"Glass top, transparent,",IKEA of Sweden,108.0,,50.0,Transparent,
942,942,942,718,29509998,MÅLSKYTT / KRILLE,Tables & desks,SR635,No old price,True,https://www.ikea.com/sa/en/p/malskytt-krille-desk-birch-veneer-black-s29509998/,Yes,"Desk, birch veneer/black,",Unknown,,,,Birch veneer/black,
943,943,943,719,79019087,MALM,Beds,"SR1,375",No old price,True,https://www.ikea.com/sa/en/p/malm-bed-frame-high-white-loenset-s79019087/,Yes,"Bed frame, high, white/Lönset,",Eva Lilja Löwenhielm/IKEA of Sweden,,,,High,
944,944,944,720,79436966,PLATSA,Wardrobes,"SR3,245","SR3,415",False,https://www.ikea.com/sa/en/p/platsa-wardrobe-with-3-doors-6-drawers-white-fonnes-white-s79436966/,No,"Wardrobe with 3 doors+6 drawers, white/Fonnes white,",Unknown,,,,White/fonnes white,
945,945,945,721,99157474,BRIMNES,Beds,"SR2,275","SR2,425",True,https://www.ikea.com/sa/en/p/brimnes-bed-frame-w-storage-and-headboard-white-leirsund-s99157474/,No,"Bed frame w storage and headboard, white/Leirsund,",IKEA of Sweden/K Hagberg/M Hagberg,,,,White/leirsund,
946,946,946,722,49483412,MALM,Beds,"SR1,037",No old price,True,https://www.ikea.com/sa/en/p/malm-bedroom-furniture-set-of-3-white-s49483412/,No,"Bedroom furniture, set of 3, white",Unknown,,,,Set of 3,
947,947,947,723,69495027,SAGSTUA,Beds,SR995,"SR1,025",True,https://www.ikea.com/sa/en/p/sagstua-bed-frame-black-lindbaden-s69495027/,Yes,"Bed frame, black/Lindbåden,",Unknown,,,,Black/lindbåden,
948,948,948,724,50516063,TROFAST,Nursery furniture,SR130,SR150,True,https://www.ikea.com/sa/en/p/trofast-frame-white-50516063/,Yes,"Frame, white,",Studio Copenhagen,44.0,56.0,34.0,White,
949,949,949,725,99435937,BESTÅ,TV & media furniture,"SR2,398",No old price,True,https://www.ikea.com/sa/en/p/besta-tv-bench-with-doors-and-drawers-black-brown-lappviken-stubbarp-light-grey-brown-s99435937/,Yes,"TV bench with doors and drawers, black-brown/Lappviken/Stubbarp light grey-brown,",Unknown,,,,Black-brown/lappviken/stubbarp light grey-brown,
950,950,950,726,80391844,DUVHOLMEN,Outdoor furniture,SR50,SR50,True,https://www.ikea.com/sa/en/p/duvholmen-inner-cushion-for-chair-cushion-outdoor-grey-80391844/,No,"Inner cushion for chair cushion, outdoor grey,",IKEA of Sweden,44.0,,44.0,Outdoor grey,
951,951,951,727,39254208,SAGSTUA,Beds,,No old price,True,https://www.ikea.com/sa/en/p/sagstua-bed-frame-white-s39254208/,Yes,"Bed frame, white,",IKEA of Sweden/Paulin Machado,,,,White,
952,952,952,728,9480854,TROFAST,Nursery furniture,SR690,SR770,True,https://www.ikea.com/sa/en/p/trofast-storage-combination-light-white-stained-pine-light-green-grey-s09480854/,Yes,"Storage combination, light white stained pine/light green-grey,",Unknown,,,,Light white stained pine/light green-grey,
