item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width
50323597,BILLSBRO,TV & media furniture,35,No old price,TRUE,https://www.ikea.com/sa/en/p/billsbro-handle-stainless-steel-colour-50323597/,No,"        Handle,          320 mm",H Preutz/A Fredriksson,,,
59161492,MÖCKELBY / NORRARYD,Chairs,4055,"SR 4,445",TRUE,https://www.ikea.com/sa/en/p/moeckelby-norraryd-table-and-6-chairs-oak-black-s59161492/,No,"        Table and 6 chairs,          235x100 cm",Marcus Arvonen/Nike Karlsson,,74,100
70261131,GERSBY,Bookcases & shelving units,95,No old price,TRUE,https://www.ikea.com/sa/en/p/gersby-bookcase-white-70261131/,No,"        Bookcase,          60x180 cm",IKEA of Sweden,24,180,60
69281776,BILLY,Bookcases & shelving units,585,No old price,TRUE,https://www.ikea.com/sa/en/p/billy-bookcase-with-panel-glass-doors-white-s69281776/,Yes,"        Bookcase with panel/glass doors,          80x30x202 cm",Gillis Lundgren,30,202,80
30326177,LENNART,Chests of drawers & drawer units,49,No old price,TRUE,https://www.ikea.com/sa/en/p/lennart-drawer-unit-white-30326177/,No,        Drawer unit,Jon Karlsson,34,56,30
60150176,BRÄDA,Tables & desks,15,No old price,TRUE,https://www.ikea.com/sa/en/p/braeda-laptop-support-black-60150176/,Yes,"        Laptop support,          42x31 cm",Sarah Fager,31,9,42
50223625,HEMNES,Chairs,395,No old price,TRUE,https://www.ikea.com/sa/en/p/hemnes-bench-white-50223625/,Yes,"        Bench,          83 cm",T Christensen/K Legaard,,53,37
69161482,IKEA PS 2012 / JANINGE,Tables & desks,1795,No old price,TRUE,https://www.ikea.com/sa/en/p/ikea-ps-2012-janinge-table-and-4-chairs-bamboo-white-s69161482/,No,"        Table and 4 chairs,          138 cm",Jon Karlsson/John/Jonas/Petrus/Paul/Caroline,,74,80
90400517,EKEDALEN,Tables & desks,796,SR 995,TRUE,https://www.ikea.com/sa/en/p/ekedalen-bar-table-dark-brown-90400517/,No,"        Bar table,          120x80 cm",Ehlén Johansson,,105,80
30247415,BESTÅ,TV & media furniture,110,No old price,TRUE,https://www.ikea.com/sa/en/p/besta-frame-grey-stained-walnut-effect-30247415/,Yes,"        Frame,          60x20x64 cm",IKEA of Sweden,20,64,60
10424353,VIMUND,Children's furniture,299,No old price,TRUE,https://www.ikea.com/sa/en/p/vimund-childrens-desk-chair-light-pink-10424353/,Yes,        Children's desk chair,IKEA of Sweden,59,,62
20320128,FLEKKE,Sofas & armchairs,1495,No old price,TRUE,https://www.ikea.com/sa/en/p/flekke-day-bed-frame-with-2-drawers-black-brown-20320128/,No,"        Day-bed frame with 2 drawers,          80x200 cm",K Hagberg/M Hagberg,,86,88
20396420,FJÄLLBERGET,Chairs,995,No old price,TRUE,https://www.ikea.com/sa/en/p/fjaellberget-conference-chair-with-castors-black-stained-ash-veneer-gunnared-dark-grey-20396420/,No,        Conference chair with castors,H Preutz/N Karlsson,71,,71
19303498,PAX,Wardrobes,2690,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-white-fardal-high-gloss-white-s19303498/,Yes,"        Wardrobe,          150x60x236 cm",IKEA of Sweden/Ehlén Johansson,60,236,150
40310208,IVAR,Bookcases & shelving units,45,No old price,TRUE,https://www.ikea.com/sa/en/p/ivar-bottle-rack-grey-40310208/,No,"        Bottle rack,          83x30 cm",Sarah Fager,30,3,83
79017837,BILLY,Bookcases & shelving units,370,No old price,TRUE,https://www.ikea.com/sa/en/p/billy-bookcase-white-s79017837/,Yes,"        Bookcase,          160x28x202 cm",Gillis Lundgren,28,202,160
40296311,SINDVIK,Cabinets & cupboards,125,No old price,TRUE,https://www.ikea.com/sa/en/p/sindvik-glass-door-black-brown-clear-glass-40296311/,Yes,"        Glass door,          60x38 cm",Marcus Arvonen,,38,60
