item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width
39336365,EKET,Cabinets & cupboards,SR229,No old price,TRUE,https://www.ikea.com/sa/en/p/eket-wall-cabinet-with-glass-door-light-grey-s39336365/,Yes,"Wall cabinet with glass door, light grey,",IKEA of Sweden/Jon Karlsson,,,
60454899,TRANHULT,Bookcases & shelving units,SR115,No old price,TRUE,https://www.ikea.com/sa/en/p/tranhult-shelf-white-stained-aspen-60454899/,Yes,"Shelf, white stained aspen,",Unknown,30,,120
69898415,TÄRNÖ,Outdoor furniture,SR299,No old price,FALSE,https://www.ikea.com/sa/en/p/taernoe-table-2-chairs-outdoor-black-light-brown-stained-s69898415/,Yes,"Table+2 chairs, outdoor, black/light brown stained",IKEA of Sweden,,,
79388395,SMÅSTAD / PLATSA,Nursery furniture,"SR1,065","SR1,115",FALSE,https://www.ikea.com/sa/en/p/smastad-platsa-chest-of-6-drawers-white-with-frame-s79388395/,Yes,"Chest of 6 drawers, white with frame,",IKEA of Sweden,,,
89239499,NORDLI,Chests of drawers & drawer units,"SR1,650",No old price,TRUE,https://www.ikea.com/sa/en/p/nordli-chest-of-6-drawers-white-s89239499/,No,"Chest of 6 drawers, white,",Ola Wihlborg,,,
99435857,BESTÅ,TV & media furniture,"SR1,470",No old price,TRUE,https://www.ikea.com/sa/en/p/besta-tv-bench-with-drawers-black-brown-kallviken-stubbarp-dark-grey-s99435857/,Yes,"TV bench with drawers, black-brown/Kallviken/Stubbarp dark grey,",Unknown,,,
59399106,VIMLE,Sofas,"SR5,275",No old price,TRUE,https://www.ikea.com/sa/en/p/vimle-3-seat-sofa-with-chaise-longue-with-headrest-gunnared-medium-grey-s59399106/,Yes,"3-seat sofa with chaise longue, with headrest/Gunnared medium grey",Unknown,,,
89399483,VIMLE,Sofas,"SR5,460",No old price,TRUE,https://www.ikea.com/sa/en/p/vimle-4-seat-sofa-with-chaise-longue-gunnared-beige-s89399483/,Yes,"4-seat sofa with chaise longue, Gunnared beige",Unknown,,,
39471358,JÄTTEBO,Sofas,"SR5,825",No old price,TRUE,https://www.ikea.com/sa/en/p/jaettebo-2-5-seat-mod-sofa-w-chaise-longue-left-tonerud-grey-s39471358/,Yes,"2,5-seat mod sofa w chaise longue, left/Tonerud grey",Unknown,,,
39436572,FJÄLLBO/KULLABERG / GULLHULT,Tables & desks,"SR1,881",No old price,TRUE,https://www.ikea.com/sa/en/p/fjaellbo-kullaberg-gullhult-desk-and-storage-combination-and-swivel-chair-black-pine-s39436572/,No,"Desk and storage combination, and swivel chair black/pine",Unknown,,,
70301542,KALLAX,Room dividers,"SR1,249",No old price,TRUE,https://www.ikea.com/sa/en/p/kallax-shelving-unit-black-brown-70301542/,Yes,"Shelving unit, black-brown,",IKEA of Sweden,39,182,182
39399522,VIMLE,Armchairs & chaise longues,"SR1,575",No old price,TRUE,https://www.ikea.com/sa/en/p/vimle-cover-for-corner-sofa-4-seat-saxemara-black-blue-s39399522/,Yes,"Cover for corner sofa, 4-seat, Saxemara black-blue",Unknown,,,
39509016,EKTORP,Sofas,"SR1,795",No old price,TRUE,https://www.ikea.com/sa/en/p/ektorp-2-seat-sofa-hakebo-grey-green-s39509016/,Yes,"2-seat sofa, Hakebo grey-green",Unknown,,,
89388187,BERGMUND,Bar furniture,SR445,SR465,TRUE,https://www.ikea.com/sa/en/p/bergmund-bar-stool-with-backrest-black-orrsta-light-grey-s89388187/,Yes,"Bar stool with backrest, black/Orrsta light grey,",IKEA of Sweden/K Hagberg/M Hagberg,,,
59248320,IVAR,Bookcases & shelving units,SR485,No old price,TRUE,https://www.ikea.com/sa/en/p/ivar-1-section-shelves-pine-s59248320/,No,"1 section/shelves, pine,",IKEA of Sweden,,,
79401354,BESTÅ,TV & media furniture,"SR2,610",No old price,FALSE,https://www.ikea.com/sa/en/p/besta-tv-bench-with-doors-and-drawers-white-hanviken-stubbarp-white-s79401354/,Yes,"TV bench with doors and drawers, white/Hanviken/Stubbarp white,",Unknown,,,
69500632,PAX / BERGSBO,Wardrobes,"SR1,090","SR1,250",TRUE,https://www.ikea.com/sa/en/p/pax-bergsbo-wardrobe-white-white-s69500632/,No,"Wardrobe, white/white,",Unknown,,,
99247187,HEMNES,Beds,"SR2,395",No old price,TRUE,https://www.ikea.com/sa/en/p/hemnes-bed-frame-grey-stained-leirsund-s99247187/,Yes,"Bed frame, grey stained/Leirsund,",IKEA of Sweden,,,
80340048,EKET,Cabinets & cupboards,SR35,No old price,TRUE,https://www.ikea.com/sa/en/p/eket-suspension-rail-80340048/,No,"Suspension rail,",IKEA of Sweden,1,4,70
39387524,TOMMARYD,Café furniture,SR795,No old price,FALSE,https://www.ikea.com/sa/en/p/tommaryd-table-white-stained-oak-veneer-anthracite-s39387524/,Yes,"Table, white stained oak veneer/anthracite,",Unknown,,,
