Unnamed: 0,item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width
610,89311466,JONAXEL,Bookcases & shelving units,830.0,SR 840,True,https://www.ikea.com/sa/en/p/jonaxel-frame-mesh-baskets-clothes-rails-s89311466/,No,"        Frame/mesh baskets/clothes rails,          142-178x51x173 cm",IKEA of Sweden,51.0,173.0,148.0
1656,70366784,SONGESAND,Chests of drawers & drawer units,645.0,No old price,True,https://www.ikea.com/sa/en/p/songesand-chest-of-6-drawers-brown-70366784/,No,"        Chest of 6 drawers,          82x126 cm",IKEA of Sweden,50.0,126.0,82.0
570,49280749,BILLY / OXBERG,Bookcases & shelving units,1790.0,No old price,True,https://www.ikea.com/sa/en/p/billy-oxberg-bookcase-w-height-extension-ut-drs-black-brown-s49280749/,Yes,"        Bookcase w height extension ut/drs,          160x30x237 cm",IKEA of Sweden/Gillis Lundgren,30.0,237.0,160.0
3418,20273141,HISHULT,TV & media furniture,17.0,No old price,True,https://www.ikea.com/sa/en/p/hishult-knob-porcelain-white-20273141/,Yes,"        Knob,          23 mm",K Hagberg/M Hagberg,24.0,,
343,89248205,IVAR,Bookcases & shelving units,440.0,No old price,True,https://www.ikea.com/sa/en/p/ivar-cabinet-with-doors-pine-white-s89248205/,No,"        Cabinet with doors,          89x30x124 cm",Sarah Fager/IKEA of Sweden,30.0,124.0,89.0
1822,49252553,LANGUR,Children's furniture,400.0,No old price,True,https://www.ikea.com/sa/en/p/langur-junior-highchair-with-tray-white-s49252553/,No,        Junior/highchair with tray,J Fritzdorf/J Feldman/J Hedberg,61.0,87.0,56.0
2668,10457999,BERGENES,Tables & desks,9.0,No old price,True,https://www.ikea.com/sa/en/p/bergenes-holder-for-mobile-phone-tablet-bamboo-10457999/,No,        Holder for mobile phone/tablet,IKEA of Sweden,,,8.0
678,19277116,BILLY / BOTTNA,Bookcases & shelving units,315.0,No old price,True,https://www.ikea.com/sa/en/p/billy-bottna-bookcase-with-display-shelf-white-beige-s19277116/,Yes,"        Bookcase with display shelf,          80x28x202 cm",Gillis Lundgren/K Hagberg/M Hagberg,28.0,202.0,80.0
1417,9161569,INGATORP / HENRIKSDAL,Chairs,2625.0,No old price,True,https://www.ikea.com/sa/en/p/ingatorp-henriksdal-table-and-4-chairs-white-blekinge-white-s09161569/,No,"        Table and 4 chairs,          110 cm",IKEA of Sweden/Carina Bengs,,74.0,
2813,19280680,INGATORP / INGOLF,Tables & desks,2615.0,No old price,True,https://www.ikea.com/sa/en/p/ingatorp-ingolf-table-and-6-chairs-white-nordvalla-beige-s19280680/,No,"        Table and 6 chairs,          155/215 cm",Ebba Strandmark/Carina Bengs,,74.0,87.0
3023,89214309,LINNMON / ALEX,Tables & desks,420.0,No old price,True,https://www.ikea.com/sa/en/p/linnmon-alex-table-geometric-beige-white-s89214309/,No,"        Table,          120x60 cm",Johanna Asshoff/Gustav Carlberg,,74.0,60.0
2309,40394830,DELAKTIG,Sofas & armchairs,75.0,No old price,True,https://www.ikea.com/sa/en/p/delaktig-cover-for-armrest-with-cushion-tallmyra-white-black-40394830/,Yes,        Cover for armrest with cushion,Tom Dixon,,,
1729,19338054,TROFAST,Children's furniture,245.0,No old price,False,https://www.ikea.com/sa/en/p/trofast-storage-combination-light-white-stained-pine-white-pink-s19338054/,Yes,"        Storage combination,          44x30x91 cm",Studio Copenhagen,30.0,91.0,44.0
2453,60289324,STOCKSUND,Sofas & armchairs,100.0,No old price,True,https://www.ikea.com/sa/en/p/stocksund-legs-for-bench-light-brown-60289324/,No,        Legs for bench,Nike Karlsson,,18.0,
